id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
9e0f12120f694fe6b73ee32eb851f445,37996,F,Michael Amend,Chief Enterprise Technology Officer*,2021,227275,800000,11499993,0,218880,34988,12781136,
281880d63f1dabf98ff4b52ebb1878ce,37996,F,"James D. Farley, Jr.",President and Chief Executive Officer,2021,1700000,0,16078486,0,3672000,1362688,22813174,
7f5e048149b7357fe984ee7676a59f0f,37996,F,John T. Lawler,Chief Financial Officer,2021,1014500,750390,5035993,0,1250640,119998,9428325,
fcde05b36f6ff4d117fe2cdb24a8b237,37996,F,"William Clay Ford, Jr.",Executive Chair,2021,1700000,0,13785209,0,1080000,2097497,18662706,
08ea8ca20aef93a0b9229c30c60343e1,37996,F,J. Doug Field,"Chief EV and Digital Systems Officer, Ford Model e*",2021,159092,500000,9999987,0,121680,67322,10848080,
e105404eccb0fef722c27287def71fb0,37996,F,Tim Stone,Former Chief Financial Officer,2020,1033333,0,4633951,0,258750,246987,6173021,
608f2de8508603c1cb79514a36649ad2,37996,F,"James D. Farley, Jr.",President and Chief Executive Officer,2020,1425000,0,5055073,4175565,449100,697316,11802054,
28125af7c0f63d6d6c234f48f32b73b1,37996,F,Hau Thai Tang,Chief Product Platform & Operations Officer,2020,1158333,83500,5796808,0,310500,151441,11780405,
5224666eefc8a671cf5ed22a44378a4d,37996,F,Kumar Galhotra,"President, Americas and",2020,865000,69250,3437450,0,258750,112868,8534094,
709ef86d9dafb554d6da6eca7ec2bddd,37996,F,International Markets Group,James P. Hackett Former President and Chief Executive Officer,2020,1800000,0,7943214,5633775,828000,523516,16728505,
1845eee1036a850ccf4cc4e55b55c417,37996,F,John T. Lawler,Chief Financial Officer,2020,715000,0,1971478,0,154400,202696,5983141,
a1342d2dc9a04d2e6136de5e0fcd6a9d,37996,F,"William Clay Ford, Jr.",Executive Chairman,2020,1700000,0,6293472,4463682,230000,1260109,16046542,
edd0075a9ff76cab84aad1672e3f8750,37996,F,"James D. Farley, Jr.","President — New Businesses, Technology and Strategy*",2019,1100000,185600,6086486,0,742500,246893,8361479,
fa5f06cee3e3f455d73d69ae3fb5b2bd,37996,F,Joseph R. Hinrichs,President — Automotive*,2019,1304667,0,6086504,0,850500,132756,11018885,
e9e38136c07613faadb7bfe9c3da4c49,37996,F,James P. Hackett,President and Chief Executive Officer,2019,1800000,0,13188269,0,1749600,617637,17355506,
9555619c25685acd36a54b0843d3ce97,37996,F,International Markets Group,James P. Hackett Former President and Chief Executive Officer,2019,1800000,0,13188269,0,1749600,617637,17355506,
f3e989b141d9430d6d61bea9a0a9ce7b,37996,F,Tim Stone,Chief Financial Officer,2019,783338,1482500,4299992,0,742500,1009923,8318253,
2ffd42fdab3dc23ddc89fe7f67e1c6c2,37996,F,Robert L. Shanks,Former Chief Financial Officer,2019,1000000,0,3043407,0,675000,116634,8317076,
c0514fd14ccbffb1f7fe817238beaa68,37996,F,"William Clay Ford, Jr.",Executive Chairman,2019,1700000,0,10449163,0,486000,1475316,16757250,
b897b5384190c18f55bf2f22e97c2bba,37996,F,Robert L. Shanks,Chief Financial Officer,2018,971250,0,6617074,0,720000,111841,8420165,0.0
e16ed9c9c05d6712397b04305b42474a,37996,F,"James D. Farley, Jr.",President — Global Markets,2018,1075000,0,3744511,0,792000,249077,5860588,0.0
7956466058e74d0650200461be1e8ccd,37996,F,James P. Hackett,President and Chief Executive Officer,2018,1800000,0,12743125,0,2592000,617710,17752835,0.0
565a17f6933f3dfb30cea52bfaf89eee,37996,F,Joseph R. Hinrichs,President — Global Operations,2018,1107250,97920,3617080,0,802080,122640,5815455,68485.0
87a4bb70f455d146810de03a59f51835,37996,F,International Markets Group,James P. Hackett Former President and Chief Executive Officer,2018,1800000,0,12743125,0,2592000,617710,17752835,
4a5bd0622446cb8689d3f30605179d9d,37996,F,"William Clay Ford, Jr.",Executive Chairman,2018,1700000,0,10096459,0,720000,1323267,13839726,0.0
7977d6291cebea8a5ff042cbf3105e9f,37996,F,James P. Hackett,President and Chief Executive Officer,2017,1344333,1000000,10366420,0,3600000,420971,16731724,
110b914b90d9e980c2c0f182cbbdeeb3,37996,F,Robert L. Shanks,Executive Vice President and Chief Financial Officer,2017,879750,309750,3677962,0,885000,98571,6744218,
8c0efde5b3d8ab955c9dd81ea012b685,37996,F,Joseph R. Hinrichs,Executive Vice President and President — Global Operations,2017,1081000,0,8677955,0,1087000,107778,12124550,
cfe7371e812192279e9fcbdcd0e108dc,37996,F,Mark Fields,Retired President and Chief Executive Officer,2017,1050000,0,13965230,0,2100000,389395,23500111,
4a618c66aca8a0b5d85978a4b48e99f8,37996,F,"William Clay Ford, Jr.",Executive Chairman,2017,1650000,0,10266426,0,1000000,1517541,15626099,
9be046dc8204ab904d50e2a23d47c83d,37996,F,"James D. Farley, Jr.",Executive Vice President and President — Global Markets,2017,973417,200000,8807539,0,1000000,2492602,13473558,
113d83390790c1ff32388d1bcab431d9,37996,F,Joseph R. Hinrichs,Executive Vice President and President — The Americas,2016,1053500,0,3926842,0,807880,99957,6723531,
2545545a67c62d48ffd0389d93aa8d58,37996,F,"James D. Farley, Jr.","Executive Vice President and President — Europe, Middle East & Africa",2016,918750,246050,3597900,0,703000,1143753,6609453,
da1072428e1a9d4c13614ee1a4d03ede,37996,F,Mark Fields,President and Chief Executive Officer,2016,1787500,0,14298356,0,2736000,435639,22102498,
11fae45149d4bdc5bee5ee67a60493ea,37996,F,Robert L. Shanks,Executive Vice President and Chief Financial Officer,2016,858000,0,3793207,0,656640,95083,6293462,
74436a09dfe4a47a090caa6be432840d,37996,F,"William Clay Ford, Jr.",Executive Chairman,2016,1625000,0,8737761,0,760000,1287438,13862938,
eef4119b6729f40fe5aa8aa6b9f2fe22,37996,F,Joseph R. Hinrichs,Executive Vice President and President — The Americas,2015,1018750,304425,3741094,0,1014750,77587,6418180,
eaf4963f3ebe25eacbe8bd2a8b587788,37996,F,"William Clay Ford, Jr.",Executive Chairman,2015,2000000,0,7077764,0,990000,1416399,12860840,
