id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,changeInPensionValueAndDeferredEarnings,otherCompensation,total
fddf23770454ac325c12769270d674ec,50863,INTC,Gregory M. Bryant,"Former EVP and GM, CCG",2021,750000,0,7662900,0,1877100,0.0,142500,10432500
8555ae6a6e4642257be351d484c0e785,50863,INTC,Navin Shenoy,"Former EVP and GM, DPG",2021,4,0,8378000,0,63200,0.0,2203800,11095800
6726e69a2a6da19426fdcce3697a0c5a,50863,INTC,Sandra L. Rivera,"EVP and GM, DCAI",2021,2,1000000,6130200,0,1813300,0.0,130200,9798100
fc645a6362d8aab0f88ae873dd51f11f,50863,INTC,George S. Davis,"Former EVP, CFO and PAO",2021,3,1000000,6641200,0,2315400,0.0,43400,10925000
59a150e93d91da81dfc1b0bac65446da,50863,INTC,Patrick P. Gelsinger,CEO,2021,1,1750000,140433000,29108400,5113900,685000.0,401600,178590400
1c5b06ca0b92b76df6bf565aa14ee6b1,50863,INTC,Steven R. Rodgers,Former EVP and GC,2021,850000,0,6539000,0,2313700,0.0,739900,10442600
9c014a29888c03aa03b1da92056b87f7,50863,INTC,Robert H. Swan,Former CEO,2021,5,0,0,0,0,0.0,449000,605300
53eaaabf217770876648dc7fe2dfc01b,50863,INTC,George S. Davis,Executive Vice President Chief Financial Officer,2020,900000,1000000,7088100,0,1632500,,157400,10778000
8ee8dae4ffd8eeaec233f0c818813c58,50863,INTC,Navin Shenoy,"Executive Vice President General Manager, Data Platforms Group",2020,850000,0,8941700,0,1541800,,164500,11514000
eaac1d01e0eba71c86e6cc491f2b1a5e,50863,INTC,Venkata S.M. Renduchintala,"Former Executive Vice President Group President, Technology, Systems Architecture and Client Group, and Chief Engineering Officer",2020,620900,0,8723600,0,95800,,2637600,12077900
d252bd3424e20883a440225d944dda85,50863,INTC,Robert H. Swan,Former Chief Executive Officer,2020,1250000,0,16902000,0,3696700,,540800,22389500
0285a3683ef1256fa95f5cb16ccda83e,50863,INTC,Steven R. Rodgers,Executive Vice President and General Counsel,2020,833000,0,6979000,0,1640900,,860300,10360200
bd89992bb3d25cc01a361b4497f3f1e5,50863,INTC,Gregory M. Bryant,"Executive Vice President General Manager, Client Computing Group",2020,686800,0,7633400,0,1359000,,65400,9750600
8f6593cf4f4a4172be9e11e1cd81656e,50863,INTC,Gregory M. Bryant,"Executive Vice President General Manager, Client Computing Group",2019,635900,0,9127800,2542500,1249100,,198300,13771600
a7a96a501f9d9f551fd586811728920e,50863,INTC,George Davis,Executive Vice President Chief Financial Officer,2019,668200,2000000,24993900,0,1274000,,283000,29219100
e3a39c9a2e5d093fd24b561c284a0eb8,50863,INTC,Steven R. Rodgers,Executive Vice President and General Counsel,2019,833000,0,6122000,0,1703300,,1076300,9788600
53b7afa01bda82f7214793864baa9b0e,50863,INTC,Venkata S.M. Renduchintala,"Former Executive Vice President Group President, Technology, Systems Architecture and Client Group, and Chief Engineering Officer",2019,1056800,0,15197400,6780000,2768400,,1082800,26885400
9dba74d788a3d33f34ef552e3b912814,50863,INTC,Robert H. Swan,Former Chief Executive Officer,2019,1227300,0,44622600,17100000,3682100,,303100,66935100
137a46b59a5234cfa9c2db97bd19fea5,50863,INTC,Todd Underwood,"Corporate Vice President Chief Financial Officer, Client Computing Group Former Interim Chief Financial Officer",2019,375300,0,5516100,0,416000,,45700,6428100
31a68fc7c18f52164a96ebe9ff883fe9,50863,INTC,George S. Davis,Executive Vice President Chief Financial Officer,2019,668200,2000000,18195900,6798000,1274000,,283000,29219100
93c0a06224082216ce5ca4849b9a4399,50863,INTC,Robert Swan,Chief Executive Officer,2019,1227300,0,61722600,0,3682100,,303100,66935100
653b73cf10039eac46fe57458d158147,50863,INTC,Venkata Renduchintala,"Executive Vice President Group President, Technology, Systems Architecture and Client Group, and Chief Engineering Officer",2019,1056800,0,21977400,0,2768400,,1082800,26885400
f77028891ee9d59d2d61350979d78c37,50863,INTC,Navin Shenoy,"Executive Vice President General Manager, Data Platforms Group",2019,850000,0,22168700,0,1591100,,171300,24781100
fa3fdde9605719a56095df2bb7eae370,50863,INTC,Gregory Bryant,"Executive Vice President General Manager, Client Computing Group",2019,635900,0,11670300,0,1249100,,198300,13771600
2780c3293edf824780dfdf120a5b7b1d,50863,INTC,Steven R. Rodgers,Executive Vice President and General Counsel,2018,800000,0,12126800,0,1994300,,1290800,16211900
a960d67c0a10e823f33f0c84efb08713,50863,INTC,Brian M. Krzanich,Former Chief Executive Officer,2018,694000,0,15313300,0,57200,,1943800,18050300
93baeb3025ad63a91078e453d1850c6a,50863,INTC,Robert Swan,Chief Executive Officer,2018,898000,2500000,10898200,0,2240000,,170500,16706700
69ded54f7862836bb350a0d7274c5209,50863,INTC,Robert H. Swan,"Chief Executive Officer Prior Interim CEO and Executive Vice President, CFO",2018,898000,2500000,10898200,0,2240000,,170500,16706700
9e6b173a5abc4d51e566445f67aa8915,50863,INTC,Venkata Renduchintala,"Group President, Technology, Systems Architecture and Client Group, and Chief Engineering Officer",2018,1008000,0,7878300,0,3225000,,1020900,13132200
52b6941617a66b40e19979450b577794,50863,INTC,Navin Shenoy,"Executive Vice President and General Manager, Data Center Group",2018,793000,0,7445000,0,1998200,,129100,10365300
f834e5a18e6888082189c00cd53be1cb,50863,INTC,Venkata S.M. Renduchintala,"Former Executive Vice President Group President, Technology, Systems Architecture and Client Group, and Chief Engineering Officer",2018,1008000,0,7878300,0,3225000,,1020900,13132200
c1109325b4bb7a725115c0fec07ed0a2,50863,INTC,Robert Swan,Chief Executive Officer,2017,850000,1750000,6296300,0,2193800,,24600,11114700
8275cdba054b0f975ea5bd8d6747d456,50863,INTC,Venkata Renduchintala,"Group President, Technology, Systems Architecture and Client Group, and Chief Engineering Officer",2017,954000,2700000,6393100,0,2718000,,1053500,13818600
f86e0f3eb368a16a60e2e1ba00976a71,50863,INTC,Navin Shenoy,"Executive Vice President General Manager, Data Center Group",2017,658300,2000000,11206300,0,1221100,0.0,204200,15289900
d1dcb2b9cb4ba18ed167fb2b626e837a,50863,INTC,Stacy J. Smith,"Former Group President, Manufacturing, Operations and Sales",2017,833600,0,5327600,0,2292600,135000.0,241400,8830200
ac3d78ebaea49b2b99435c437d8bce70,50863,INTC,Diane M. Bryant,"Former Group President, Data Center Group",2017,776800,0,5327600,0,2149000,10000.0,4853800,13117200
59b762ecbd26668439554d52a8db6ad7,50863,INTC,Brian M. Krzanich,Chief Executive Officer,2017,1380000,0,13076900,0,5210000,17000.0,1860800,21544700
13b8b9fe2db4a2729edf7d4996394e81,50863,INTC,Andy D. Bryant,Chairman of the Board,2017,500000,0,2085800,0,1159600,237000.0,90900,4073300
eea61cf8d8d723cb62dddaf780f01c7e,50863,INTC,Robert H. Swan,Executive Vice President and Chief Financial Officer,2017,850000,1750000,6296300,0,2193800,0.0,24600,11114700
3fce025bfd082f82e4ca940e222a950b,50863,INTC,Venkata Murthy Renduchintala,"Group President, Client and Internet of Things Businesses and System Architecture Group, and Chief Engineering Officer",2017,954000,2700000,6393100,0,2718000,0.0,1053500,13818600
