id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
1609cc854cdc9505d3c81c9ae34be1c2,1418135,KDP,Fernando Cortes,Former Chief Supply Chain Officer,2021,438462,0,3170803,0,287921,3953554,7850740,
594232dfba1bae6f7ac556d50befc45a,1418135,KDP,Robert Gamgort,Chairman and CEO,2021,1528846,0,4297860,0,1845000,100815,7772521,
ea55ec77ffcf8882c1a7d1235060eb4e,1418135,KDP,Ozan Dokmecioglu,Chief Financial Officer &amp; President International,2021,866346,0,2011772,0,557600,17354,3453072,
913c2f384bfb35fb24277c5a21d6a5e6,1418135,KDP,Tony Milikin,Chief Supply Chain Officer,2021,242308,0,9789313,0,156362,5192,10193175,
8d1a8180cdafa5bb0bff19af62184a34,1418135,KDP,Mauricio Leyva,"President, Coffee",2021,866346,0,2011772,0,557600,17100,3452818,
3e503a409a77f78d8f7936b844973eda,1418135,KDP,Justin Whitmore,Chief Strategy Officer,2021,486538,2000000,6032544,0,316228,11279,8846589,
e9acec8b7a028392d61ec5ab9add3621,1418135,KDP,Bob Gamgort,Chairman and CEO,2020,1557692,0,18334997,0,2407500,210347,22510536,
4814e1ef0369995b23769cf759274d12,1418135,KDP,Fernando Cortes,Chief Supply Chain Officer,2020,538462,0,1200009,0,442267,29940,2210678,
b95a316cc66bf5662b98dce043aa33ae,1418135,KDP,Robert Gamgort,Chairman and CEO,2020,1557692,0,18334997,0,2407500,210347,22510536,
b44f51fbcb11c12a17bdac303f567c67,1418135,KDP,Mauricio Leyva,"President, Coffee",2020,676731,5500000,22200017,0,586454,22137,28985339,
2dd2769080102d24457453f25186b800,1418135,KDP,Ozan Dokmecioglu,Chief Financial Officer &amp; President International,2020,882692,0,13200021,0,727600,18265,14828578,
36ad41d79636a02074b8bd4e23858639,1418135,KDP,Derek Hopkins,"President, Cold Beverages",2020,668269,0,11200048,0,552833,17100,12438250,
1d656d6c867165f94caea50c982263b7,1418135,KDP,Bob Gamgort,Chairman and CEO,2019,1500000,0,5500015,0,2047500,157406,9204921,
13364758b0efc7885e92bbaa2fb1765f,1418135,KDP,Robert J. Gamgort,"Executive Chairman, President &amp; CEO",2019,1500000,0,5500015,0,2047500,157406,9204921,
15316829b5847c8a8600669511346471,1418135,KDP,Robert Gamgort,Chairman and CEO,2019,1500000,0,5500015,0,2047500,157406,9204921,
73ef5b1f26d80fcf1f4e323479bbd15e,1418135,KDP,Derek Hopkins,"President, Cold Beverages",2019,589423,0,1500011,0,432412,13507,2535353,
5f5470355d8817781614fd2a4346dbb0,1418135,KDP,Ozan Dokmecioglu,Chief Financial Officer,2019,848077,0,2600024,0,618800,42321,4109222,
b40c6d227a48b7bcc9f01b9948466fe3,1418135,KDP,Mary Beth DeNooyer,Chief Human Resources Officer,2019,221154,2000000,3400028,0,154451,12253,5787886,
4589e2098248b6e2ab41d2b520597b4a,1418135,KDP,Herbert Derek Hopkins,Chief Commercial Officer,2019,589423,0,1500011,0,432412,13507,2535353,
5864f1c99532653d6f3e3eccb84516b5,1418135,KDP,Fernando Cortes,Chief Supply Chain Officer,2019,500000,0,1500011,0,364000,79895,2443906,
4ebcce82bcd2b3748ede277507b021a4,1418135,KDP,Bob Gamgort,Chairman and CEO,2018,721154,0,0,0,3496875,29403,4247432,
340dd64f3c96d7f6d84abc18c57497e3,1418135,KDP,Robert J. Gamgort,"Executive Chairman, President &amp; CEO",2018,721154,0,0,0,3496875,29403,4247432,
3a633559db24228aa2c9cb0275c3c8cd,1418135,KDP,Ozan Dokmecioglu,Chief Financial Officer,2018,384615,0,2600009,0,1193600,4195,4182419,
fba389cedc6bf68d4ace67b049acccf6,1418135,KDP,Larry D. Young,President & CEO,2016,1132692,0,4799884,1199993,2314605,468404,9931631,16052.0
8d481eecba39569fd32a11d94cc4f58c,1418135,KDP,Rodger L. Collins,Pres. Packaged Beverages,2016,604462,0,1159960,290000,663134,128192,2845747,0.0
d047d913bd8f123c4c08aaffce58528c,1418135,KDP,Martin M. Ellen,Chief Financial Officer,2016,604808,0,1223058,305793,738460,146618,3018737,0.0
24be922a0477e0444c35b2ab1d6ab344,1418135,KDP,James J. Johnston,Pres. Beverage Concentrates & Latin America Beverages,2016,604462,0,1159960,290000,714546,201500,3014020,43553.0
65ff946c110e8fa58a67be15e9e304c4,1418135,KDP,James L. Baldwin,EVP General Counsel and Corporate Secretary,2016,478769,0,799858,199997,452724,139942,2109443,38153.0
6ad86705b8424c9fde99f704fa9ba16f,1418135,KDP,James J. Johnston,Pres. Beverage Concentrates & Latin America Beverages,2015,587077,0,1079892,269998,683648,176794,2875100,
811e8057c332dd34ce3bba2bd579a6e1,1418135,KDP,Larry D. Young,President & CEO,2015,1075000,0,4799916,1199992,2421814,379721,9916238,
fef310f7455c8687009a10985366e2bd,1418135,KDP,Rodger L. Collins,Pres. Packaged Beverages,2015,609154,0,1079892,269998,812551,119942,2891537,
ea25f828c5f3f2a461f5398b4ded0198,1418135,KDP,Derry L. Hobson,EVP Supply Chain,2015,499769,0,719928,179993,564902,94818,2059410,
43f640af7cd633ad88faaa3a62dc0b16,1418135,KDP,Martin M. Ellen,Chief Financial Officer,2015,579846,0,1164953,291241,787371,115734,2939145,
4ef79be7a94c70638d988bd5bc57765b,1418135,KDP,Rodger L. Collins,Pres. Packaged Beverages,2014,570231,0,1079905,269996,718189,108568,2746889,0.0
7aae28823f2da59252e4e955af3975db,1418135,KDP,James J. Johnston,Pres. Beverage Concentrates & Latin America Beverages,2014,570770,0,1079905,269996,595043,172383,2819030,130933.0
c5c4fc145aa23d61ef69909dcb8be7a3,1418135,KDP,Derry L. Hobson,EVP Supply Chain,2014,491808,0,719902,179997,489764,93090,1974561,0.0
fb7092dd80ce5f6c2a079ab98b9d77f4,1418135,KDP,Larry D. Young,President & CEO,2014,1075000,0,4799935,1199997,2131564,410395,9671181,54290.0
6af6d19b1fb1a3ea4c1668ce07c27bd8,1418135,KDP,Martin M. Ellen,Chief Financial Officer,2014,568462,0,1141921,285499,679325,117493,2792700,0.0
1042312bdbc6f2ef55690316b4e2c593,1418135,KDP,Larry D. Young,President & CEO,2013,1075000,0,4799954,1199997,1568479,387356,9052569,
9756af21ff513a14e0c88aec1e8578b2,1418135,KDP,Martin M. Ellen,Chief Financial Officer,2013,556538,0,1119950,279997,490241,124492,2571218,
c0fbbd1e70e6e73b4311d5d3af1584cd,1418135,KDP,Rodger L. Collins,Pres. Packaged Beverages,2013,556311,0,1079986,269997,520173,105955,2532422,
8609d923ba40766679864da0b2fff3e8,1418135,KDP,James J. Johnston,Pres. Beverage Concentrates & Latin America Beverages,2013,556838,0,1079986,269997,399412,174678,2510865,
e43846a403f217bd9bdc45bc35823356,1418135,KDP,Derry L. Hobson,EVP Supply Chain,2013,482308,0,679998,169996,353455,95185,1780942,
be6fcf09a269275dc4da7a08446651cc,1418135,KDP,Larry D. Young,President & CEO,2012,1075000,0,4388958,1310997,1385461,368972,8536822,7434.0
45e8aff29f0a09956209368687cceded,1418135,KDP,Martin M. Ellen,Chief Financial Officer,2012,542693,0,1061008,316940,421438,100224,2442303,0.0
b7d75b285a2b7b2aa3d843bc77b9a03b,1418135,KDP,Rodger L. Collins,Pres. Packaged Beverages,2012,542020,0,1042524,311420,357275,107873,2361112,0.0
267681ccd197527daf673c36cf2a363b,1418135,KDP,James J. Johnston,Pres. Beverage Concentrates & Latin America Beverages,2012,543831,0,1042524,311420,377428,165710,2472229,31316.0
970eda097453f20af992477cc4541893,1418135,KDP,Derry L. Hobson,EVP Supply Chain,2012,473386,0,680626,203315,285685,98587,1741599,0.0
87c9fe673214048a466c76b71820ad92,1418135,KDP,Larry D. Young,President & CEO,2011,1057692,0,4368725,1304958,1511974,412686,8690406,34371.0
3d0af079ee746c0d99f84a2048570865,1418135,KDP,Martin M. Ellen,Chief Financial Officer,2011,532692,0,1201168,358799,501647,85737,2680043,0.0
6f4b5adeb6633e51d8d1bbfec3ec7985,1418135,KDP,James J. Johnston,Pres. Beverage Concentrates & Latin America Beverages,2011,532000,0,1101050,328894,424628,182125,2649384,80687.0
278334238fe996dd9f5a14d1bffb5f80,1418135,KDP,Rodger L. Collins,Pres. Packaged Beverages,2011,528000,0,1101050,328894,297824,115151,2370919,0.0
8909fe32a31a3ff80fd1baaeae560ff7,1418135,KDP,Derry L. Hobson,EVP Supply Chain,2011,463847,0,700648,209298,347889,93655,1815337,0.0
f8ed557d7a0acc1dda0d2bffae450102,1418135,KDP,Rodger L. Collins,Pres. Packaged Beverages,2010,517693,0,699993,299997,347153,100036,1964872,
5854737455cc26b41d5a28555b11ffd9,1418135,KDP,Larry D. Young,President & CEO,2010,976923,0,3324983,1424995,1614251,278551,7634396,
1eceb7532d5759636322f69c7afba9dd,1418135,KDP,Martin M. Ellen,Chief Financial Officer,2010,397789,0,3543707,1518745,459715,179422,6099378,
ffd2266fb64602f862405b009cb56332,1418135,KDP,James J. Johnston,Pres. Beverage Concentrates & Latin America Beverages,2010,515385,0,699993,299997,422574,139581,2111949,
ca523ef1c205993eaa02541c79547ecf,1418135,KDP,Derry L. Hobson,EVP Supply Chain,2010,444231,0,559976,239995,329838,84158,1658198,
5a85c2591f8da4dcd79b05eb5585925a,1418135,KDP,Former Chief Financial Officer,John O. Stewart Former Chief Financial Officer,2010,197115,0,0,0,204536,1470691,1879305,
f5ab3ff8127dc600941ec130ddc1a513,1418135,KDP,Larry D. Young,President & CEO,2009,934616,0,2519992,1079998,1839488,114665,6519378,30619.0
13921a3c063fc0f334897d41e5d660b2,1418135,KDP,Rodger L. Collins,"Pres., Packaged Beverages",2009,510000,0,629988,269998,715633,95638,2221257,0.0
9e9537021610052c52daae0c7a233a6e,1418135,KDP,James J. Johnston,"Pres., Beverage Concentrates & Latin America Beverages",2009,519231,0,629988,269998,651121,78370,2218744,70036.0
0c55ccb1fe7ab7068ee0930032a84c98,1418135,KDP,Martin M. Ellen,Chief Financial Officer,2009,0,0,0,0,0,0,0,
9eb7885ae3a0e8f41d2cb2308b421760,1418135,KDP,Derry L. Hobson,"EVP, Supply Chain",2009,430578,0,1059991,239998,474654,78108,2283329,0.0
