,id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
0,21bce6f864ee3d67e61232da5e371dcc,320193,AAPL,Jeff Williams,Chief Operating Officer,2021,1000000,0,21959620,0,4000000,17437,26977057,
1,39c3be85559f978fceb001ed65f805a9,320193,AAPL,Tim Cook,Chief Executive Officer,2021,3000000,0,82347835,0,12000000,1386559,98734394,
2,5672125e1128cae081168ab797e4184f,320193,AAPL,Kate Adams,"Senior Vice President, General Counsel and Secretary",2021,1000000,0,21959620,0,4000000,14533,26974153,
3,c34027ebeff9e609633c259618269ca3,320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2021,1000000,0,21959620,0,4000000,18883,26978503,
4,73ba5d6d21abab167c84c61f4a5b8e2f,320193,AAPL,Deirdre O Brien,"Senior Vice President, Retail + People",2021,1000000,0,21959620,0,4000000,61191,27020811,
5,1d5a8f8e051a236410c8039c7f9c264a,320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2020,1000000,0,21657687,0,3577000,18583,26253270,0.0
6,7e1b60b2f198be8532cc9effb73ea8b5,320193,AAPL,Tim Cook,Chief Executive Officer,2020,3000000,0,0,0,10731000,1038259,14769259,0.0
7,f2ede761f78dc0ce107413198917a6f9,320193,AAPL,Deirdre O Brien,"Senior Vice President, Retail + People",2020,1000000,0,21657687,0,3577000,37684,26272371,0.0
8,6d8660ac16859f33e699ec0838d86869,320193,AAPL,Kate Adams,"Senior Vice President, General Counsel and Secretary",2020,1000000,0,21657687,0,3577000,14310,26248995,0.0
9,5cdf49bd1cde7af6f36074ebe7122cb0,320193,AAPL,Jeff Williams,Chief Operating Officer,2020,1000000,0,21657687,0,3577000,17137,26251824,0.0
10,0efecb1ee2838d09b39a40da37b78cdd,320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2019,1000000,0,21633416,0,2557000,19221,25209637,
11,723ebe0f40dadb8d9030bf97b2b185d4,320193,AAPL,Deirdre O Brien,"Senior Vice President, Retail + People",2019,877500,0,16469527,0,1795000,17753,19159780,
12,6fb9fbb9fed09f81e2ac18ac5dae6ccf,320193,AAPL,Tim Cook,Chief Executive Officer,2019,3000000,0,0,0,7671000,884466,11555466,
13,f991a25c31b42eeedc05466418744cef,320193,AAPL,Kate Adams,"Senior Vice President, General Counsel and Secretary",2019,1000000,0,21633416,0,2557000,41384,25231800,
14,fcc27aaa4859fc3ba01a74cafad1d098,320193,AAPL,Angela Ahrendts,"Former Senior Vice President, Retail",2019,630361,0,21633416,0,0,14465,22278242,
15,8aebc402ca67203ee1d41098996beb73,320193,AAPL,Jeff Williams,Chief Operating Officer,2019,1000000,0,21633416,0,2557000,17503,25207919,
16,4bcfbc734e06efa9a3b61614ab0065fe,320193,AAPL,Tim Cook,Chief Executive Officer,2018,3000000,0,0,0,12000000,682219,15682219,
17,b4d2388ab09144f0b7c7144408cfb467,320193,AAPL,Jeff Williams,Chief Operating Officer,2018,1000000,0,21491888,0,4000000,51818,26543706,
18,4acc86963cd41734fbde5d5415c45051,320193,AAPL,Kate Adams,"Senior Vice President, General Counsel and Secretary",2018,884615,0,21509765,0,4000000,306280,26700660,
19,153522a95c9484813b08f4504b85f9b3,320193,AAPL,Angela Ahrendts,"Senior Vice President, Retail",2018,1000000,0,21491888,0,4000000,46942,26538830,
20,1e9b1226ef9388cef8079e2cdea86574,320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2018,1000000,0,21491888,0,4000000,17804,26509692,
21,8dd6c5b8f6e7573e829672704a05afa8,320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2017,1019231,0,20000113,0,3109000,13271,24141615,
22,c009a90d85302e35d2cf47ed29f26bb1,320193,AAPL,Johny Srouji,"Senior Vice President, Hardware Technologies",2017,1019231,0,20000113,0,3109000,34048,24162392,
23,b783e965b09577fcab79bbe662f17ec2,320193,AAPL,Dan Riccio,"Senior Vice President, Hardware Engineering",2017,1019231,0,20000113,0,3109000,17702,24146046,
24,6f08eec8b3914c34dc73b804b17e1f33,320193,AAPL,Tim Cook,Chief Executive Officer,2017,3057692,0,0,0,9327000,440374,12825066,
25,3b9ac98bda079d89704bccf95b092a6b,320193,AAPL,Angela Ahrendts,"Senior Vice President, Retail",2017,1019231,0,20000113,0,3109000,87728,24216072,
26,f9fc2515750511dd63dc7511c1056b5e,320193,AAPL,Bruce Sewell,"Former Senior Vice President, General Counsel and Secretary",2017,1019231,0,20000113,0,3109000,17702,24146046,
