,id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
0,ce5ce03d1e83d40b77dc1d78c4430a11,789019,MSFT,Jean Philippe Courtois,"Executive Vice President, President, Global Sales, Marketing and Operations",2021,932167,0,12141344,0,3670406,65948,16809865,
1,fec80b29259087fb57609bfa798f73bc,789019,MSFT,Christopher D. Young,"Executive Vice President, Business Development, Strategy, and Ventures",2021,541875,3500000,22594634,0,1788188,70386,28495083,
2,0f95acf65abb775c57c1f9b0e93d527e,789019,MSFT,Amy E. Hood,Executive Vice President and Chief Financial Officer,2021,995833,0,17864404,0,4543490,62414,23466141,
3,3b07e7788a49cdb08cf83cf0edd394e1,789019,MSFT,Satya Nadella,Chairman and Chief Executive Officer,2021,2500000,0,33036030,0,14212500,109750,49858280,
4,11570117c22840c4143c6c9ceeaf51b7,789019,MSFT,Bradford L. Smith,President and Chief Legal Officer,2021,943333,0,15098855,0,4303958,109750,20455896,
5,a063bca54c69b08408d4722280fdef51,789019,MSFT,Amy E. Hood,Executive Vice President and Chief Financial Officer,2020,975000,0,14792679,0,3734981,123574,19626234,
6,aa955475f0bae08ad3f467f3912a5b65,789019,MSFT,Jean Philippe Courtois,"Executive Vice President, President, Global Sales, Marketing and Operations",2020,777000,0,10475186,0,2591432,105686,13949304,
7,30443bc8ec2f89d058e645b118e50c2b,789019,MSFT,Bradford L. Smith,President and Chief Legal Officer,2020,860000,0,12402137,0,3294445,111131,16667713,
8,515bb737d2aaaa5d2cc07df0bc3ce563,789019,MSFT,Satya Nadella,Chief Executive Officer and Director,2020,2500000,0,30718608,0,10992000,111180,44321788,
9,faf3346c38cf9e4899d3c4a01e9146be,789019,MSFT,Margaret L. Johnson,"Executive Vice President, Business Development",2020,715000,0,6983520,0,1762189,114773,9575482,
10,e80f7c167640b8f56135a1802776278c,789019,MSFT,Amy E. Hood,Executive Vice President and Chief Financial Officer,2019,958333,0,15316653,0,3855040,97608,20227634,
11,95be069a70cc4a7161bbd00186caff2d,789019,MSFT,Margaret L. Johnson,"Executive Vice President, Business Development",2019,715000,0,7539668,0,2086456,91525,10432649,
12,aabfff408f93a04a2ba2169a92f31c73,789019,MSFT,Bradford L. Smith,President and Chief Legal Officer,2019,850000,0,13045437,0,3366148,111412,17372997,
