id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
92332860b6455ebdbc18167eca58ea4f,1652044,GOOGL,Prabhakar Raghavan,"Senior Vice President, Google",2020,655000,0,54585860,0,0,9750,55250610,
3be26bee946fb7ff9d7ae48ea461312c,1652044,GOOGL,Philipp Schindler,"Senior Vice President, Chief Business Officer, Google",2020,655000,0,65501684,0,0,226816,66383500,
ae3ecb3a47d68e374fc8b478c3871b94,1652044,GOOGL,Sundar Pichai,"Chief Executive Officer, Alphabet and Google, and Director",2020,2015385,0,0,0,0,5410162,7425547,
360ef9a3b4d28b970ab55e2f5243ac82,1652044,GOOGL,Ruth M. Porat,"Senior Vice President, Chief Financial Officer, Alphabet and Google",2020,655000,0,50217913,0,0,17770,50890683,
bb40eb4879b4615721c3ef0b2d7adf26,1652044,GOOGL,Kent Walker,"Senior Vice President, Global Affairs and Chief Legal Officer, Google",2020,655000,0,50217913,0,0,9750,50882663,
be2ccf8ac0511f56384f737df8bd6423,1652044,GOOGL,Ruth M. Porat,"Senior Vice President, Chief Financial Officer, Alphabet and Google",2019,650000,0,0,0,0,14052,664052,
9a499bd409f8adb74c242757de644fe4,1652044,GOOGL,Sundar Pichai,"Chief Executive Officer, Alphabet and Google, and Director",2019,650000,0,276612072,0,0,3359480,280621552,
20a4b858781912c53218038039b4777f,1652044,GOOGL,Sundar Pichai,"Chief Executive Officer, Google",2018,650000,0,0,0,0,1231066,1881066,
56d2620fc8c9477a4405022a9473a38d,1652044,GOOGL,Ruth M. Porat,"Senior Vice President, Chief Financial Officer, Alphabet and Google",2018,650000,0,46612647,0,0,29357,47292004,
9b3d04f0f86b2179d2edba4f803672b7,1652044,GOOGL,Sergey Brin,"President, Alphabet, and Co-Founder",2018,1,0,0,0,0,0,1,
6d5b6020c243e23cc2df99d6b2c2f0bf,1652044,GOOGL,Eric E. Schmidt,"Technical Advisor, Former Executive Chairman, Alphabet",2018,1250000,0,0,0,0,362016,1612016,
1105c35f77c86a5eb0f7e1f0a31a021a,1652044,GOOGL,David C. Drummond,"Senior Vice President, Corporate Development, Chief Legal Officer, Alphabet",2018,650000,0,46612647,0,0,19585,47282232,
0e07cfdee7c121d380147ff9c0bb5a64,1652044,GOOGL,Larry Page,"Chief Executive Officer, Alphabet, and Co-Founder",2018,1,0,0,0,0,0,1,
adc9fa6e8df72ef92b22c00786dd0d86,1652044,GOOGL,Larry Page,"Chief Executive Officer, Alphabet, Co-Founder",2017,1,0,0,0,0,0,1,0.0
263fd117b9fb5e93c3bc13ba2101ae70,1652044,GOOGL,Sundar Pichai,"Chief Executive Officer, Google",2017,650000,0,0,0,0,683557,1333557,0.0
5eb142238348386fa0bbf6b0e094fe44,1652044,GOOGL,Ruth M. Porat,"Senior Vice President, Chief Financial Officer,Alphabet and Google",2017,650000,0,0,0,0,38638,688638,0.0
af2b912cf75ff4958b815b68d56b1421,1652044,GOOGL,David C. Drummond,"Senior Vice President, Corporate Development, Chief Legal Officer, Alphabet",2017,650000,0,0,0,0,14252,664252,0.0
5ff564ecc47a58971ef45d33146c0e45,1652044,GOOGL,Sergey Brin,"President, Alphabet, and Co-Founder",2017,1,0,0,0,0,0,1,0.0
224767a99d4fe93469829ad50e9029c7,1652044,GOOGL,Eric E. Schmidt,"Technical Advisor, Former Executive Chairman, Alphabet",2017,1250000,0,0,0,0,677986,4726592,2798606.0
60a1e415c80d3092b56483ffc840b896,1652044,GOOGL,Sergey Brin,"President, Alphabet, and Co-Founder",2016,1,0,0,0,0,0,1,
d7957022a88d21bcef0831b2f12e634a,1652044,GOOGL,David C. Drummond,"Senior Vice President, Corporate Development, Chief Legal Officer, and Secretary, Alphabet",2016,650000,0,0,0,0,14387,664387,
62fd85903080257117e3e618999ae39d,1652044,GOOGL,Eric E. Schmidt,"Executive Chairman, Alphabet",2016,1250000,0,0,0,0,629106,4309791,
3c6be2671962a40874cff63febdff666,1652044,GOOGL,Ruth M. Porat,"Senior Vice President and Chief Financial Officer, Alphabet and Google",2016,650000,0,38313173,0,0,110956,39074129,
34f8ec872e045404e73845deea1f34f8,1652044,GOOGL,Larry Page,"CEO, Alphabet, and Co-Founder",2016,1,0,0,0,0,0,1,
45bdd8f4a09bacc691f096d090e64a2b,1652044,GOOGL,Sundar Pichai,"Chief Executive Officer, Google",2016,650000,0,198695790,0,0,372410,199718200,
0e5035a76a13a60dcb8381e9aab72e9e,1652044,GOOGL,Larry Page,"Chief Executive Officer, Alphabet",2015,1,0,0,0,0,0,1,
6628f4275e58d2a836a4453a63318c6b,1652044,GOOGL,Sergey Brin,"President, Alphabet",2015,1,0,0,0,0,0,1,
eea69b9e39b97c86f041c48cb136980c,1652044,GOOGL,Ruth M. Porat,Senior Vice President and Chief Financial Officer,2015,395000,0,5000000,0,0,603932,31051486,
d6576fea5ffd35f481903cd1362f1748,1652044,GOOGL,Eric E. Schmidt,"Executive Chairman, Alphabet",2015,1254808,0,6000000,0,0,783370,8038178,
1cf21196865cb31a260096e901b2b9c2,1652044,GOOGL,Patrick Pichette,Advisor; Former Senior Vice President and Chief Financial Officer,2015,322501,0,0,0,0,56294490,56616991,
46ed78e3464be90f5312a8835f1f3d2b,1652044,GOOGL,Omid,Kordestani Former Senior Vice President and Chief,2015,487500,0,0,0,0,16476940,16964440,
623f13d8476da5527dbad0a47904c87e,1652044,GOOGL,David C. Drummond,"Senior Vice President, Corporate Development, Chief Legal Officer, and Secretary, Alphabet",2015,652500,0,0,0,0,20323,672823,
8be4045158463b1bf11174b572cc0c1c,1652044,GOOGL,Sundar Pichai,"Chief Executive Officer, Google",2015,652500,0,0,0,0,150460,100632102,
e7d3608f28a5de2630364807cd8c4628,1652044,GOOGL,Larry Page,"Chief Executive Officer, Alphabet",2014,1,0,0,0,0,0,1,
3c440d3bb0226c26885504463c66499a,1652044,GOOGL,David C. Drummond,"Senior Vice President, Corporate Development, Chief Legal Officer, and Secretary, Alphabet",2014,650000,3500000,40092200,0,0,16688,44258888,
cb75a9a9bd1f6808e9e214cbff992706,1652044,GOOGL,Omid,Kordestani Former Senior Vice President and Chief,2014,237500,0,6500000,0,0,12551,129903052,
7f6e5073fa251124a7979cdf07eca192,1652044,GOOGL,Eric E. Schmidt,"Executive Chairman, Alphabet",2014,1250000,0,6000000,0,0,996934,108690772,
c63bc79c59a664b1e9ecd55237420276,1652044,GOOGL,Sergey Brin,"President, Alphabet",2014,1,0,0,0,0,0,1,
3927ef20a23a2a3503673dc96b6b9e01,1652044,GOOGL,Patrick Pichette,Advisor; Former Senior Vice President and Chief Financial Officer,2014,650000,0,3000000,0,0,15284,43757484,
c893ae8614c8a894342131a5d4748e01,1652044,GOOGL,Sergey Brin,"President, Alphabet",2013,1,0,0,0,0,0,1,
930408925e1bf6676a8b645f86ddf636,1652044,GOOGL,Larry Page,"Chief Executive Officer, Alphabet",2013,1,0,0,0,0,0,1,
0e41bf6b3d6fae92e2d0533cc8e45ae7,1652044,GOOGL,Eric E. Schmidt,"Executive Chairman, Alphabet",2013,1250000,0,6000000,0,0,708196,19323380,
c557bffca71f4c404e19948eb50a97cc,1652044,GOOGL,Patrick Pichette,Advisor; Former Senior Vice President and Chief Financial Officer,2013,650000,0,3000000,0,0,13159,5153076,
