id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
40f70160fdd0e54a9a3aaad7c272f9b0,200406,JNJ,Alex Gorsky,Chairman/CEO,2021,1650000,0,14789176,5069996,4252800,277071,26741959,
6204f90eb44c7a5f4eb81e18b456b042,200406,JNJ,Joseph Wolk,"EVP, CFO",2021,938077,0,4877538,1688997,1560863,78243,10953615,
f3ccae4bad9e6500e67f192325f67194,200406,JNJ,Joaquin Duato,Vice Chairman of the Executive Committee,2021,1030000,0,7001281,2393998,2319450,184796,13805292,
6e2c8cac5389bfd9961c93a88f80c051,200406,JNJ,Jennifer Taubert,"EVP, Worldwide Chair Pharmaceuticals",2021,938077,0,4947245,1713005,1510314,49707,10225759,
2806fc429510e3b585fb43ba9a9d1b46,200406,JNJ,Paulus Stoffels,"VC of the Executive Committee, CSO",2021,1222500,0,7487478,2567995,2660400,102189,15007450,
9f484a5f77c01277770d1f2989bd09aa,200406,JNJ,Jennifer Taubert,"EVP, Worldwide Chair Pharmaceuticals",2020,884615,0,4468928,1499997,990058,46871,9532469,1642000.0
4de1f51051773846a312f86b04c736ea,200406,JNJ,Alex Gorsky,Chairman/CEO,2020,1650000,0,13757654,4382995,3148515,200810,29575974,6436000.0
8cf5f9cf7cd877a5d8ae2cf5b87170d3,200406,JNJ,Joseph Wolk,"EVP, CFO",2020,885385,0,4163841,1448997,1044179,46636,10196038,2607000.0
525252ce66c772a14d806259c553ffd5,200406,JNJ,Joaquin Duato,Vice Chairman of the Executive Committee,2020,1021538,0,6798093,2193000,1820403,45969,15625003,3746000.0
23da9ca022b6c56c341462d8cf80d526,200406,JNJ,Paulus Stoffels,"VC of the Executive Committee, CSO",2020,1222500,0,6871123,2202001,2056395,82949,16439968,4005000.0
88d0eb2c040839ad5da46d153efd84cf,200406,JNJ,Joseph Wolk,"EVP, CFO",2019,796538,0,2379419,1182003,1132914,81818,7497692,
b8a7e546df48bb1b3444d2284e6f8308,200406,JNJ,Joaquin Duato,Vice Chairman of the Executive Committee,2019,969615,0,4622787,1974005,2295437,88458,13419302,
4689f974930e4410dbe9e73356f774f9,200406,JNJ,Alex Gorsky,Chairman/CEO,2019,1650000,0,9956365,4049997,3690971,243444,25365777,
71be9b5575db8356818e3d924bb68a91,200406,JNJ,Paulus Stoffels,"VC of the Executive Committee, CSO",2019,1222500,0,4824472,2040008,2388631,73238,14067849,
f8d1ed084fe7d9ede09d16f3c1f7af48,200406,JNJ,Jennifer Taubert,"EVP, Worldwide Chair",2019,796154,0,2625279,1200004,1179065,59798,7097300,
72a650e8a57c40ebd6e6f67b077d8389,200406,JNJ,Sandra Peterson,"Former EVP, Group Worldwide Chairman",2018,808500,0,4002361,1689007,1005500,2901505,10679873,273000.0
3c16f6c9fa011b85381fc062c623eed4,200406,JNJ,Alex Gorsky,Chairman/CEO,2018,1642308,0,10319463,4305594,3570497,259710,20097572,0.0
a8757be62391794be424dce0bd06b181,200406,JNJ,Joseph Wolk,"EVP, CFO",2018,597542,0,670085,216898,749729,32935,2708189,441000.0
4499d4b8f5739ee8893168d3870754e5,200406,JNJ,Joaquin Duato,Vice Chairman of the Executive Committee,2018,934046,0,4275951,1892999,2010088,91876,9283960,79000.0
