id,cik,ticker,name,position,year,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,otherCompensation,total,changeInPensionValueAndDeferredEarnings
08d178903c49165daebfde7030695f86,1506307,KMI,James E. Holland,Vice President and Chief Operating Officer,2021,450000,0,0,0,0,0,2984497,
92e9cf2826be4c3986960180771ab1c4,1506307,KMI,Steven J. Kean,Chief Executive Officer,2021,1,0,0,0,0,0,18000259,
b18ea007164f2a52fcd781fb1c3a74e4,1506307,KMI,David P. Michels,Vice President and Chief Financial Officer,2021,450000,0,0,0,0,0,2234532,
815f29cd03a072d16638196d259bbd80,1506307,KMI,Kimberly A. Dang,President,2021,450000,0,0,0,0,0,6120766,
818437827f9df8027496ea91b8051e0d,1506307,KMI,Dax A. Sanders,"Vice President President, Products Pipelines",2021,450000,0,0,0,0,0,2721722,
abbeeabbb2ded654da8ee0ce8d352783,1506307,KMI,Dax A. Sanders,"Vice President President, Products Pipelines",2020,464423,0,1500006,0,659750,14250,2647929,
f5b5ea3eb99e81078346b610ab2be0a7,1506307,KMI,Steven J. Kean,Chief Executive Officer,2020,1,0,0,0,0,0,1,
26740aa1aea981fdb2a01f1976bf4e2a,1506307,KMI,James E. Holland,Vice President and Chief Operating Officer,2020,464423,0,1750002,0,614250,14250,2845052,
718861d3d6a98605c266bdf6daa83bce,1506307,KMI,David P. Michels,Vice President and Chief Financial Officer,2020,461538,0,800011,0,637000,14250,1923987,
96b1decc48317ed952aa675aee2c2be0,1506307,KMI,Kimberly A. Dang,President,2020,464423,0,3000013,0,1365000,14250,4847937,
d154597f025e52ec1fbbbb1d32ba3033,1506307,KMI,Steven J. Kean,Chief Executive Officer,2019,1,0,0,0,0,0,7270,
bc00f3214ec454f716b8750b39e0b619,1506307,KMI,Kimberly A. Dang,President,2019,423077,0,3000020,0,1425000,14000,4906188,
01bd585628deacfa125195dd008c7d01,1506307,KMI,David P. Michels,Vice President and Chief Financial Officer,2019,396154,0,750021,0,570000,14000,1763035,
c869a50374ba7f3ce84f060608e231d2,1506307,KMI,Dax A. Sanders,Executive Vice President and Chief Strategy Officer,2019,423077,0,1500021,0,750000,14000,2735804,
d9c30efcf6ecbef4730e1a72bcda9d06,1506307,KMI,Thomas A. Martin,"Vice President President, Natural Gas Pipelines",2019,423077,0,7000017,0,1187500,14000,8650752,
e0b476a80d2991ce4053cecbcd347770,1506307,KMI,Steven J. Kean,Chief Executive Officer,2018,1,0,16000004,0,0,908956,16908961,
2e309c62acc28a9151c7ae817faec2a6,1506307,KMI,David P. Michels,Vice President and Chief Financial Officer,2018,328556,75000,600009,0,450000,47317,1502681,
38f2b4e282fbb799db1a3addfc411292,1506307,KMI,Thomas A. Martin,"Vice President President, Natural Gas Pipelines",2018,400000,0,1700009,0,1150000,13750,3292839,
8e57895bb3f4e6fd27d3084b383c7da4,1506307,KMI,John W. Schlosser,President-Terminals,2018,400000,25000,8500010,0,485000,343472,9761874,
