Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate
AAPL,APPLE INC,Information Technology,Equity,"627,609,535.64",6.08,"627,609,535.64","4,028,044.00",155.81,United States,NASDAQ,USD,1.00
MSFT,MICROSOFT CORP,Information Technology,Equity,"504,709,879.66",4.89,"504,709,879.66","1,971,061.00",256.06,United States,NASDAQ,USD,1.00
AMZN,AMAZON COM INC,Consumer Discretionary,Equity,"298,546,176.05",2.89,"298,546,176.05","2,341,355.00",127.51,United States,NASDAQ,USD,1.00
TSLA,TESLA INC,Consumer Discretionary,Equity,"181,066,099.74",1.75,"181,066,099.74","670,094.00",270.21,United States,NASDAQ,USD,1.00
GOOGL,ALPHABET INC CLASS A,Communication,Equity,"170,894,796.00",1.66,"170,894,796.00","1,584,560.00",107.85,United States,NASDAQ,USD,1.00
GOOG,ALPHABET INC CLASS C,Communication,Equity,"157,273,871.04",1.52,"157,273,871.04","1,447,128.00",108.68,United States,NASDAQ,USD,1.00
BRKB,BERKSHIRE HATHAWAY INC CLASS B,Financials,Equity,"131,961,556.82",1.28,"131,961,556.82","475,246.00",277.67,United States,New York Stock Exchange Inc.,USD,1.00
UNH,UNITEDHEALTH GROUP INC,Health Care,Equity,"127,226,574.60",1.23,"127,226,574.60","246,396.00",516.35,United States,New York Stock Exchange Inc.,USD,1.00
JNJ,JOHNSON & JOHNSON,Health Care,Equity,"112,822,759.80",1.09,"112,822,759.80","693,270.00",162.74,United States,New York Stock Exchange Inc.,USD,1.00
XOM,EXXON MOBIL CORP,Energy,Equity,"106,165,217.29",1.03,"106,165,217.29","1,110,631.00",95.59,United States,New York Stock Exchange Inc.,USD,1.00
META,META PLATFORMS INC CLASS A,Communication,Equity,"96,846,265.92",0.94,"96,846,265.92","604,081.00",160.32,United States,NASDAQ,USD,1.00
JPM,JPMORGAN CHASE & CO,Financials,Equity,"87,408,763.29",0.85,"87,408,763.29","768,699.00",113.71,United States,New York Stock Exchange Inc.,USD,1.00
NVDA,NVIDIA CORP,Information Technology,Equity,"86,574,520.95",0.84,"86,574,520.95","634,385.00",136.47,United States,NASDAQ,USD,1.00
PG,PROCTER & GAMBLE,Consumer Staples,Equity,"86,384,876.76",0.84,"86,384,876.76","629,811.00",137.16,United States,New York Stock Exchange Inc.,USD,1.00
V,VISA INC CLASS A,Information Technology,Equity,"85,692,769.92",0.83,"85,692,769.92","433,317.00",197.76,United States,New York Stock Exchange Inc.,USD,1.00
CVX,CHEVRON CORP,Energy,Equity,"81,744,358.85",0.79,"81,744,358.85","517,861.00",157.85,United States,New York Stock Exchange Inc.,USD,1.00
HD,HOME DEPOT INC,Consumer Discretionary,Equity,"79,390,962.00",0.77,"79,390,962.00","271,980.00",291.90,United States,New York Stock Exchange Inc.,USD,1.00
MA,MASTERCARD INC CLASS A,Information Technology,Equity,"73,145,318.40",0.71,"73,145,318.40","226,765.00",322.56,United States,New York Stock Exchange Inc.,USD,1.00
PFE,PFIZER INC,Health Care,Equity,"68,013,527.70",0.66,"68,013,527.70","1,488,261.00",45.70,United States,New York Stock Exchange Inc.,USD,1.00
